3.929076850104373797e-02,1.698417997173456984e-01,4.156331116159227568e-01,1.027441971194833270e+00,1.528901156620932733e+00,1.085376165242128099e+00
1.422818207561587500e-01,3.328861548703481166e-01,5.919480989581826780e-01,1.040566974068371620e+00,1.370102694616653016e+00,1.311565653024848066e+00
2.280930410076187007e-02,1.017960766032668662e-01,2.217063968574176369e-01,8.036904425349541414e-01,1.199006344930451107e+00,7.686685152035033219e-01
3.519719965171905912e-02,1.290798597344900156e-01,3.024866709343176918e-01,7.754243205765374292e-01,1.161834408835555887e+00,1.064075735956236279e+00
6.656476176626284491e-02,1.530852862678482029e-01,2.920650380687020986e-01,6.692252094173082311e-01,1.298092582592083266e+00,1.900489011114757876e+00
3.077403345966386872e-02,9.862016967158102054e-02,2.393430348297355403e-01,6.752046479526866429e-01,1.287547467546097835e+00,1.855656148314539955e+00
7.433520457744736964e-02,1.926241212796585001e-01,3.533627391074468105e-01,8.299701591605972428e-01,1.468700353506838363e+00,1.544994898777390491e+00
5.032541445996606411e-02,2.057297775982641908e-01,4.930182177947355915e-01,1.227887276851576281e+00,1.899533043626695061e+00,1.457635689465652140e+00
2.286211259144101809e-02,1.143767634231991209e-01,2.845269409747427369e-01,8.396760375419832778e-01,1.175617854676602514e+00,7.058563136738863486e-01
2.265171826834984706e-02,1.359924256194358083e-01,3.982109035995621826e-01,1.619129318909096282e+00,2.106953478708826655e+00,1.489466434867958267e+00
3.138909582510372026e-02,1.183280861858861388e-01,3.297223283100555458e-01,8.829506077900859395e-01,1.742320080801943005e+00,2.409384942759150494e+00
7.250806449429020306e-02,1.799194215749540526e-01,3.165391760448553193e-01,7.394943625105140361e-01,1.091750583309596845e+00,1.094513580588369006e+00
3.253141594286683425e-02,1.093654850997772682e-01,2.568060339221740485e-01,6.955682001596482644e-01,1.180621271321988353e+00,1.369766666885091411e+00
4.702678245859390899e-02,1.320152940728884505e-01,2.659208557226455660e-01,7.770291781252031127e-01,1.412362938528709533e+00,1.773944615027548410e+00
