counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
5,B,12966,1,1,55,1003.5,367.68,45.9
5,B,12966,2,2,57,1003.5,327.68,18.3
5,B,12966,5,3,47,1003.5,367.68,45.9
5,B,12966,7,4,56,1003.5,327.68,18.3
5,B,12966,14,5,42,1003.5,367.68,45.9
5,B,12966,19,6,49,1003.5,327.68,18.3
5,B,12966,27,7,51,1003.5,367.68,45.9
5,B,12966,33,8,58,1003.5,327.68,18.3
5,B,12966,40,9,51,1003.5,367.68,46
5,B,12966,46,10,48,1003.5,327.68,18.3
5,B,12966,71,11,46,1003.5,367.68,45.9
5,B,12966,90,12,52,1003.5,327.68,18.3
6,B,6533,1,1,55,1003.5,367.68,45.9
6,B,6533,3,2,57,1003.5,327.68,18.3
6,B,6533,5,3,47,1003.5,367.68,45.9
6,B,6533,6,4,56,1003.5,327.68,18.3
6,B,6533,40,5,42,1003.5,367.68,45.9
6,B,6533,68,6,49,1003.5,327.68,18.3
6,B,6533,74,7,51,1003.5,367.68,45.9
6,B,6533,78,8,58,1003.5,327.68,18.3
6,B,6533,110,9,51,1003.5,367.68,46
6,B,6533,140,10,48,1003.5,327.68,18.3
6,B,6533,168,11,46,1003.5,367.68,45.9
6,B,6533,188,12,52,1003.5,327.68,18.3
7,B,33093,1,1,55,1003.5,367.68,45.9
7,B,33093,2,2,57,1003.5,327.68,18.3
7,B,33093,3,3,47,1003.5,367.68,45.9
7,B,33093,4,4,56,1003.5,327.68,18.3
7,B,33093,6,5,42,1003.5,367.68,45.9
7,B,33093,7,6,49,1003.5,327.68,18.3
7,B,33093,33,7,51,1003.5,367.68,45.9
7,B,33093,52,8,58,1003.5,327.68,18.3
7,B,33093,65,9,51,1003.5,367.68,46
7,B,33093,75,10,48,1003.5,327.68,18.3
7,B,33093,93,11,46,1003.5,367.68,45.9
7,B,33093,107,12,52,1003.5,327.68,18.3
8,B,79931,1,1,55,1003.5,367.68,45.9
8,B,79931,2,2,57,1003.5,327.68,18.3
8,B,79931,7,3,47,1003.5,367.68,45.9
8,B,79931,9,4,56,1003.5,327.68,18.3
8,B,79931,29,5,42,1003.5,367.68,45.9
8,B,79931,42,6,49,1003.5,327.68,18.3
8,B,79931,196,7,51,1003.5,367.68,45.9
8,B,79931,306,8,58,1003.5,327.68,18.3
8,B,79931,412,9,51,1003.5,367.68,46
8,B,79931,512,10,48,1003.5,327.68,18.3
8,B,79931,634,11,46,1003.5,367.68,45.9
8,B,79931,784,12,52,1003.5,327.68,18.3
9,B,39282,2,1,55,1003.5,367.68,45.9
9,B,39283,3,2,57,1003.5,327.68,18.3
9,B,39284,15,3,47,1003.5,367.68,45.9
9,B,39285,26,4,56,1003.5,327.68,18.3
9,B,39286,74,5,42,1003.5,367.68,45.9
9,B,39287,141,6,49,1003.5,327.68,18.3
9,B,39288,293,7,51,1003.5,367.68,45.9
9,B,39289,413,8,58,1003.5,327.68,18.3
9,B,39290,471,9,51,1003.5,367.68,46
9,B,39291,523,10,48,1003.5,327.68,18.3
9,B,39292,557,11,46,1003.5,367.68,45.9
9,B,39293,603,12,52,1003.5,327.68,18.3
10,B,21879,1,1,55,1003.5,367.68,45.9
10,B,21879,2,2,57,1003.5,327.68,18.3
10,B,21879,8,3,47,1003.5,367.68,45.9
10,B,21879,14,4,56,1003.5,327.68,18.3
10,B,21879,39,5,42,1003.5,367.68,45.9
10,B,21879,59,6,49,1003.5,327.68,18.3
10,B,21879,131,7,51,1003.5,367.68,45.9
10,B,21879,181,8,58,1003.5,327.68,18.3
10,B,21879,210,9,51,1003.5,367.68,46
10,B,21879,231,10,48,1003.5,327.68,18.3
10,B,21879,731,11,60,1003.5,367.68,45.9
10,B,21879,979,12,57,1003.5,327.68,18.3
11,B,126994,2,1,55,1003.5,367.68,45.9
11,B,126994,6,2,57,1003.5,327.68,18.3
11,B,126994,16,3,47,1003.5,367.68,45.9
11,B,126994,22,4,56,1003.5,327.68,18.3
11,B,126994,52,5,42,1003.5,367.68,45.9
11,B,126994,76,6,49,1003.5,327.68,18.3
11,B,126994,376,7,51,1003.5,367.68,45.9
11,B,126994,665,8,58,1003.5,327.68,18.3
11,B,126994,840,9,51,1003.5,367.68,46
11,B,126994,1040,10,48,1003.5,327.68,18.3
11,B,126994,1165,11,46,1003.5,367.68,45.9
11,B,126994,1265,12,52,1003.5,327.68,18.3
1,C,13826,2,1,54,925.2,283.6,73.5
1,C,13826,3,2,57,925.2,253.6,55.15
1,C,13826,6,3,51,925.2,283.6,73.3
1,C,13826,8,4,57,925.2,253.6,55.05
1,C,13826,21,5,53,925.2,283.6,73.1
1,C,13826,31,6,60,925.2,253.6,54.5
1,C,13826,67,7,55,925.2,283.6,73
1,C,13826,91,8,60,925.2,253.6,54.1
1,C,13826,149,9,53,925.2,283.6,72.8
1,C,13826,195,10,55,925.2,253.6,54.01
1,C,13826,246,11,47,925.2,283.6,72.5
1,C,13826,287,12,61,925.2,253.6,53.8
2,C,40714,1,1,54,925.2,283.6,73.5
2,C,40714,2,2,57,925.2,253.6,55.15
2,C,40714,6,3,51,925.2,283.6,73.3
2,C,40714,8,4,57,925.2,253.6,55.05
2,C,40714,80,5,53,925.2,283.6,73.1
2,C,40714,140,6,60,925.2,253.6,54.5
2,C,40714,340,7,55,925.2,283.6,73
2,C,40714,509,8,60,925.2,253.6,54.1
2,C,40714,652,9,53,925.2,283.6,72.8
2,C,40714,752,10,55,925.2,253.6,54.01
2,C,40714,1020,11,47,925.2,283.6,72.5
2,C,40714,1220,12,61,925.2,253.6,53.8
3,C,26258,1,1,54,925.2,283.6,73.5
3,C,26258,2,2,57,925.2,253.6,55.15
3,C,26258,29,3,51,925.2,283.6,73.3
3,C,26258,48,4,57,925.2,253.6,55.05
3,C,26258,144,5,53,925.2,283.6,73.1
3,C,26258,214,6,60,925.2,253.6,54.5
3,C,26258,301,7,55,925.2,283.6,73
3,C,26258,381,8,60,925.2,253.6,54.1
3,C,26258,479,9,53,925.2,283.6,72.8
3,C,26258,589,10,55,925.2,253.6,54.01
3,C,26258,689,11,47,925.2,283.6,72.5
3,C,26258,783,12,61,925.2,253.6,53.8
