counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
5,B,12966,1,1,55,1003.5,367.68,45.9
5,B,12966,1,2,57,1003.5,327.68,18.3
5,B,12966,3,3,47,1003.5,367.68,45.9
5,B,12966,2,4,56,1003.5,327.68,18.3
5,B,12966,7,5,42,1003.5,367.68,45.9
5,B,12966,5,6,49,1003.5,327.68,18.3
5,B,12966,8,7,51,1003.5,367.68,45.9
5,B,12966,6,8,58,1003.5,327.68,18.3
5,B,12966,7,9,51,1003.5,367.68,46
5,B,12966,6,10,48,1003.5,327.68,18.3
5,B,12966,23,11,46,1003.5,367.68,45.9
5,B,12966,21,12,52,1003.5,327.68,18.3
6,B,6533,1,1,55,1003.5,367.68,45.9
6,B,6533,2,2,57,1003.5,327.68,18.3
6,B,6533,2,3,47,1003.5,367.68,45.9
6,B,6533,1,4,56,1003.5,327.68,18.3
6,B,6533,34,5,42,1003.5,367.68,45.9
6,B,6533,28,6,49,1003.5,327.68,18.3
6,B,6533,6,7,51,1003.5,367.68,45.9
6,B,6533,4,8,58,1003.5,327.68,18.3
6,B,6533,32,9,51,1003.5,367.68,46
6,B,6533,30,10,48,1003.5,327.68,18.3
6,B,6533,25,11,46,1003.5,367.68,45.9
6,B,6533,23,12,52,1003.5,327.68,18.3
7,B,33093,1,1,55,1003.5,367.68,45.9
7,B,33093,2,2,57,1003.5,327.68,18.3
7,B,33093,1,3,47,1003.5,367.68,45.9
7,B,33093,1,4,56,1003.5,327.68,18.3
7,B,33093,2,5,42,1003.5,367.68,45.9
7,B,33093,1,6,49,1003.5,327.68,18.3
7,B,33093,26,7,51,1003.5,367.68,45.9
7,B,33093,19,8,58,1003.5,327.68,18.3
7,B,33093,13,9,51,1003.5,367.68,46
7,B,33093,10,10,48,1003.5,327.68,18.3
7,B,33093,18,11,46,1003.5,367.68,45.9
7,B,33093,14,12,52,1003.5,327.68,18.3
8,B,79931,1,1,55,1003.5,367.68,45.9
8,B,79931,1,2,57,1003.5,327.68,18.3
8,B,79931,5,3,47,1003.5,367.68,45.9
8,B,79931,2,4,56,1003.5,327.68,18.3
8,B,79931,20,5,42,1003.5,367.68,45.9
8,B,79931,13,6,49,1003.5,327.68,18.3
8,B,79931,154,7,51,1003.5,367.68,45.9
8,B,79931,110,8,58,1003.5,327.68,18.3
8,B,79931,106,9,51,1003.5,367.68,46
8,B,79931,100,10,48,1003.5,327.68,18.3
8,B,79931,122,11,46,1003.5,367.68,45.9
8,B,79931,150,12,52,1003.5,327.68,18.3
9,B,39282,2,1,55,1003.5,367.68,45.9
9,B,39283,1,2,57,1003.5,327.68,18.3
9,B,39284,12,3,47,1003.5,367.68,45.9
9,B,39285,11,4,56,1003.5,327.68,18.3
9,B,39286,48,5,42,1003.5,367.68,45.9
9,B,39287,67,6,49,1003.5,327.68,18.3
9,B,39288,152,7,51,1003.5,367.68,45.9
9,B,39289,120,8,58,1003.5,327.68,18.3
9,B,39290,58,9,51,1003.5,367.68,46
9,B,39291,52,10,48,1003.5,327.68,18.3
9,B,39292,34,11,46,1003.5,367.68,45.9
9,B,39293,46,12,52,1003.5,327.68,18.3
10,B,21879,1,1,55,1003.5,367.68,45.9
10,B,21879,1,2,57,1003.5,327.68,18.3
10,B,21879,6,3,47,1003.5,367.68,45.9
10,B,21879,7,4,56,1003.5,327.68,18.3
10,B,21879,25,5,42,1003.5,367.68,45.9
